feature,psi,ks_statistic,ks_pvalue,ks_significant,drift_level,year
int_rate,0.118,0.1586,0.0,True,moderate,2016
term,0.0451,0.0907,0.0,True,no_drift,2016
acc_open_past_24mths,0.0189,0.0529,0.0,True,no_drift,2016
annual_inc,0.0084,0.0363,0.0,True,no_drift,2016
dti,0.0124,0.042,0.0,True,no_drift,2016
fico,0.0019,0.0131,0.0,True,no_drift,2016
loan_amnt,0.0163,0.0498,0.0,True,no_drift,2016
tot_hi_cred_lim,0.0047,0.0192,0.0,True,no_drift,2016
avg_cur_bal,0.0007,0.0097,0.0,True,no_drift,2016
total_bc_limit,0.0047,0.0279,0.0,True,no_drift,2016
int_rate,0.1086,0.1137,0.0,True,moderate,2017
term,0.0298,0.0747,0.0,True,no_drift,2017
acc_open_past_24mths,0.0122,0.0408,0.0,True,no_drift,2017
annual_inc,0.011,0.0368,0.0,True,no_drift,2017
dti,0.0088,0.0327,0.0,True,no_drift,2017
fico,0.0206,0.0573,0.0,True,no_drift,2017
loan_amnt,0.0424,0.0716,0.0,True,no_drift,2017
tot_hi_cred_lim,0.0094,0.028,0.0,True,no_drift,2017
avg_cur_bal,0.0026,0.0131,0.0,True,no_drift,2017
total_bc_limit,0.0221,0.0642,0.0,True,no_drift,2017
int_rate,0.1771,0.1387,0.0,True,moderate,2018
term,0.0035,0.0261,0.0,True,no_drift,2018
acc_open_past_24mths,0.022,0.0562,0.0,True,no_drift,2018
annual_inc,0.014,0.0373,0.0,True,no_drift,2018
dti,0.0343,0.0463,0.0,True,no_drift,2018
fico,0.1136,0.1412,0.0,True,moderate,2018
loan_amnt,0.0538,0.0603,0.0,True,no_drift,2018
tot_hi_cred_lim,0.0177,0.0416,0.0,True,no_drift,2018
avg_cur_bal,0.0118,0.0241,0.0,True,no_drift,2018
total_bc_limit,0.0611,0.105,0.0,True,no_drift,2018
