train_size,fold,train_score,val_score,metric
0.1,0,0.7043134632308432,0.14684264955837947,AUPRC
0.25,0,0.47958165776582007,0.14497515452326515,AUPRC
0.5,0,0.48915506353357285,0.1661825830530112,AUPRC
0.75,0,0.32513578171860813,0.1766382300796237,AUPRC
1.0,0,0.2881026453111039,0.17391023461246582,AUPRC
0.1,1,0.3943890739773245,0.20865330680722666,AUPRC
0.25,1,0.29766542557947473,0.20793122372639178,AUPRC
0.5,1,0.23789317276970845,0.2224402050780035,AUPRC
0.75,1,0.24635983542423825,0.23166641358602633,AUPRC
1.0,1,0.2350333841834507,0.23731475231101565,AUPRC
0.1,2,0.2801539801143208,0.23116054408455708,AUPRC
0.25,2,0.23347911683688793,0.2611722547400466,AUPRC
0.5,2,0.24096944511215806,0.2720748502130752,AUPRC
0.75,2,0.23999229909013337,0.266570239086634,AUPRC
1.0,2,0.2477540950610137,0.27993037517069,AUPRC
0.1,3,0.31670128011994014,0.26997770613979244,AUPRC
0.25,3,0.3178674002645673,0.280038394387453,AUPRC
0.5,3,0.310206124923395,0.2668651703506876,AUPRC
0.75,3,0.29186889585247283,0.26938513930933977,AUPRC
1.0,3,0.2903131161054433,0.26862451055109515,AUPRC
0.1,4,0.32197759178217267,0.3340209092335696,AUPRC
0.25,4,0.3138323508145777,0.3376867048802399,AUPRC
0.5,4,0.30362049483520887,0.3400904557461609,AUPRC
0.75,4,0.2987569233047312,0.34162914277024564,AUPRC
1.0,4,0.2916971613578869,0.3419801794464328,AUPRC
