,income_bracket,home_ownership,dti_bracket,purpose,emp_length
int_rate,0.05876346287998135,0.08058635269873243,0.12090456619522072,0.0823335308237542,0.011558015115819933
term,0.024591785023589025,0.09561924206211027,0.023406338797655905,0.06631730484638469,0.03142562938888781
acc_open_past_24mths,0.03901922882022936,0.07851502372318424,0.04477705190691431,0.014310098288975344,0.02847243744114791
annual_inc,0.1845617485144746,0.07088103950623618,0.035642612294160214,0.00010285511801376432,0.044722138422935966
dti,,,,,
fico,0.05168482799301828,0.09440833925666946,0.007655012185083482,0.05380311504788474,0.011657567428089278
loan_amnt,0.24520328371630565,0.16849691299427622,0.00018947974817534947,0.1555978735831929,0.060585708643343866
tot_hi_cred_lim,0.30008039906607425,0.49745927674755297,0.004109862403911959,0.029313947182594162,0.0753417389111971
avg_cur_bal,,,,,
total_bc_limit,0.22296179208242503,0.13443761125345324,0.019950285334131568,0.07337936736462944,0.037394033594229006
